Params: ThresholdParams(block_scale=20, sub_threshold=-40, retr_type=1L, retr_approx=2L, min_poly=3), score: 1651.05311957 (best: 1651.05311957)
Params: ThresholdParams(block_scale=20, sub_threshold=-30, retr_type=1L, retr_approx=2L, min_poly=3), score: 1634.40762909 (best: 1651.05311957)
Params: ThresholdParams(block_scale=20, sub_threshold=-20, retr_type=1L, retr_approx=2L, min_poly=3), score: 1478.87545968 (best: 1651.05311957)
Params: ThresholdParams(block_scale=30, sub_threshold=-40, retr_type=1L, retr_approx=2L, min_poly=3), score: 1669.22473585 (best: 1669.22473585)
Params: ThresholdParams(block_scale=30, sub_threshold=-30, retr_type=1L, retr_approx=2L, min_poly=3), score: 1708.33403981 (best: 1708.33403981)
Params: ThresholdParams(block_scale=30, sub_threshold=-20, retr_type=1L, retr_approx=2L, min_poly=3), score: 1628.04817815 (best: 1708.33403981)
Params: ThresholdParams(block_scale=40, sub_threshold=-40, retr_type=1L, retr_approx=2L, min_poly=3), score: 1727.12489168 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-30, retr_type=1L, retr_approx=2L, min_poly=3), score: 1723.55475963 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-20, retr_type=1L, retr_approx=2L, min_poly=3), score: 1704.42015251 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-40, retr_type=1L, retr_approx=2L, min_poly=5), score: 1652.56238871 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-30, retr_type=1L, retr_approx=2L, min_poly=5), score: 1633.80969263 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-20, retr_type=1L, retr_approx=2L, min_poly=5), score: 1477.94751409 (best: 1727.12489168)
Params: ThresholdParams(block_scale=30, sub_threshold=-40, retr_type=1L, retr_approx=2L, min_poly=5), score: 1668.8846959 (best: 1727.12489168)
Params: ThresholdParams(block_scale=30, sub_threshold=-30, retr_type=1L, retr_approx=2L, min_poly=5), score: 1707.84617528 (best: 1727.12489168)
Params: ThresholdParams(block_scale=30, sub_threshold=-20, retr_type=1L, retr_approx=2L, min_poly=5), score: 1629.2904794 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-40, retr_type=1L, retr_approx=2L, min_poly=5), score: 1724.70768259 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-30, retr_type=1L, retr_approx=2L, min_poly=5), score: 1725.44913709 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-20, retr_type=1L, retr_approx=2L, min_poly=5), score: 1705.59377986 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-40, retr_type=3L, retr_approx=2L, min_poly=3), score: 1651.05311957 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-30, retr_type=3L, retr_approx=2L, min_poly=3), score: 1634.40762909 (best: 1727.12489168)
Params: ThresholdParams(block_scale=20, sub_threshold=-20, retr_type=3L, retr_approx=2L, min_poly=3), score: 1478.87545968 (best: 1727.12489168)
Params: ThresholdParams(block_scale=30, sub_threshold=-40, retr_type=3L, retr_approx=2L, min_poly=3), score: 1669.22473585 (best: 1727.12489168)
Params: ThresholdParams(block_scale=30, sub_threshold=-30, retr_type=3L, retr_approx=2L, min_poly=3), score: 1708.33403981 (best: 1727.12489168)
Params: ThresholdParams(block_scale=30, sub_threshold=-20, retr_type=3L, retr_approx=2L, min_poly=3), score: 1628.04817815 (best: 1727.12489168)
Params: ThresholdParams(block_scale=40, sub_threshold=-40, retr_type=3L, retr_approx=2L, min_poly=3), score: 1727.12489168 (best: 1727.12489168)
