Params: ThresholdParams(block_scale=20, sub_threshold=-40, retr_type=1L, retr_approx=2L, min_poly=3), score: 1186.17660229 (best: 1186.17660229)
Params: ThresholdParams(block_scale=20, sub_threshold=-30, retr_type=1L, retr_approx=2L, min_poly=3), score: 1166.03748041 (best: 1186.17660229)
Params: ThresholdParams(block_scale=20, sub_threshold=-20, retr_type=1L, retr_approx=2L, min_poly=3), score: 1052.1953638 (best: 1186.17660229)
Params: ThresholdParams(block_scale=30, sub_threshold=-40, retr_type=1L, retr_approx=2L, min_poly=3), score: 1198.51178176 (best: 1198.51178176)
Params: ThresholdParams(block_scale=30, sub_threshold=-30, retr_type=1L, retr_approx=2L, min_poly=3), score: 1219.44585739 (best: 1219.44585739)
Params: ThresholdParams(block_scale=30, sub_threshold=-20, retr_type=1L, retr_approx=2L, min_poly=3), score: 1156.0963563 (best: 1219.44585739)
Params: ThresholdParams(block_scale=40, sub_threshold=-40, retr_type=1L, retr_approx=2L, min_poly=3), score: 1230.11716357 (best: 1230.11716357)
Params: ThresholdParams(block_scale=40, sub_threshold=-30, retr_type=1L, retr_approx=2L, min_poly=3), score: 1227.66507482 (best: 1230.11716357)
Params: ThresholdParams(block_scale=40, sub_threshold=-20, retr_type=1L, retr_approx=2L, min_poly=3), score: 1206.06252724 (best: 1230.11716357)
Params: ThresholdParams(block_scale=20, sub_threshold=-40, retr_type=1L, retr_approx=2L, min_poly=5), score: 1190.36321177 (best: 1230.11716357)
Params: ThresholdParams(block_scale=20, sub_threshold=-30, retr_type=1L, retr_approx=2L, min_poly=5), score: 1167.61938526 (best: 1230.11716357)
Params: ThresholdParams(block_scale=20, sub_threshold=-20, retr_type=1L, retr_approx=2L, min_poly=5), score: 1053.1172504 (best: 1230.11716357)
Params: ThresholdParams(block_scale=30, sub_threshold=-40, retr_type=1L, retr_approx=2L, min_poly=5), score: 1201.23223199 (best: 1230.11716357)
Params: ThresholdParams(block_scale=30, sub_threshold=-30, retr_type=1L, retr_approx=2L, min_poly=5), score: 1221.24790613 (best: 1230.11716357)
Params: ThresholdParams(block_scale=30, sub_threshold=-20, retr_type=1L, retr_approx=2L, min_poly=5), score: 1158.58095881 (best: 1230.11716357)
Params: ThresholdParams(block_scale=40, sub_threshold=-40, retr_type=1L, retr_approx=2L, min_poly=5), score: 1230.57539529 (best: 1230.57539529)
Params: ThresholdParams(block_scale=40, sub_threshold=-30, retr_type=1L, retr_approx=2L, min_poly=5), score: 1231.45382974 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-20, retr_type=1L, retr_approx=2L, min_poly=5), score: 1208.40978193 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-40, retr_type=3L, retr_approx=2L, min_poly=3), score: 1186.17660229 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-30, retr_type=3L, retr_approx=2L, min_poly=3), score: 1166.03748041 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-20, retr_type=3L, retr_approx=2L, min_poly=3), score: 1052.1953638 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-40, retr_type=3L, retr_approx=2L, min_poly=3), score: 1198.51178176 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-30, retr_type=3L, retr_approx=2L, min_poly=3), score: 1219.44585739 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-20, retr_type=3L, retr_approx=2L, min_poly=3), score: 1156.0963563 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-40, retr_type=3L, retr_approx=2L, min_poly=3), score: 1230.11716357 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-30, retr_type=3L, retr_approx=2L, min_poly=3), score: 1227.66507482 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-20, retr_type=3L, retr_approx=2L, min_poly=3), score: 1206.06252724 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-40, retr_type=3L, retr_approx=2L, min_poly=5), score: 1190.36321177 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-30, retr_type=3L, retr_approx=2L, min_poly=5), score: 1167.61938526 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-20, retr_type=3L, retr_approx=2L, min_poly=5), score: 1053.1172504 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-40, retr_type=3L, retr_approx=2L, min_poly=5), score: 1201.23223199 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-30, retr_type=3L, retr_approx=2L, min_poly=5), score: 1221.24790613 (best: 1231.45382974)
Params: ThresholdParams(block_scale=30, sub_threshold=-20, retr_type=3L, retr_approx=2L, min_poly=5), score: 1158.58095881 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-40, retr_type=3L, retr_approx=2L, min_poly=5), score: 1230.57539529 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-30, retr_type=3L, retr_approx=2L, min_poly=5), score: 1231.45382974 (best: 1231.45382974)
Params: ThresholdParams(block_scale=40, sub_threshold=-20, retr_type=3L, retr_approx=2L, min_poly=5), score: 1208.40978193 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-40, retr_type=0L, retr_approx=2L, min_poly=3), score: 590.295928246 (best: 1231.45382974)
Params: ThresholdParams(block_scale=20, sub_threshold=-30, retr_type=0L, retr_approx=2L, min_poly=3), score: 574.787597745 (best: 1231.45382974)
